sn,time,msg,server_model
4.38E+17,2020/9/10 5:06, System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted,SM35
4.38E+17,2020/9/10 8:33, Memory CPU1E0_DIMM_Stat | Correctable ECC | Asserted,SM35
4.38E+17,2020/9/10 10:29, Memory CPU1E0_DIMM_Stat | Correctable ECC | Asserted,SM35
4.38E+17,2020/9/10 12:30, Memory CPU1E0_DIMM_Stat | Correctable ECC | Asserted,SM35
0437ab217bf8,2020/1/15 11:06, Memory #0xe2 | Uncorrectable ECC | Asserted,SM51
0437ab217bf8,2020/1/15 11:08, System Boot Initiated #0xe0 | Initiated by power up | Asserted,SM51
043a428383ab,2020/2/18 3:06, Memory Memory_Status | Correctable ECC | Asserted,SM100
043a428383ab,2020/2/18 1:46, Memory Memory_Status | Correctable ECC | Asserted,SM100
044c97b0c918,2020/1/12 0:16, Processor CPU_CATERR | State Asserted | Asserted,SM23
044c97b0c918,2020/1/12 0:25, System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted,SM23
044c97b0c918,2020/1/12 0:25, Processor CPU1_Status | Presence detected | Asserted,SM23
044c97b0c918,2020/1/12 0:25, Processor CPU0_Status | Presence detected | Asserted,SM23
044c97b0c918,2020/1/12 0:25, System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted,SM23
044c97b0c918,2020/1/12 0:25, Processor CPU_CATERR | State Deasserted | Asserted,SM23
046638a6a0cf,2020/3/15 2:12, System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted,SM16
046638a6a0cf,2020/3/15 2:13, OS Boot #0xe9 | boot completed - device not specified | Asserted,SM16
046aca4b871a,2020/6/7 10:39, Memory CPU0C0_DIMM_Stat | Correctable ECC | Asserted,SM27
047a3b61d7e8,2020/4/11 7:51, Memory #0xf9 | Correctable ECC | Asserted,SM19
049f87bf7bea,2020/11/8 12:26, Memory #0xf9 | Correctable ECC | Asserted,SM17
049f87bf7bea,2020/10/11 19:27, Memory #0xf9 | Uncorrectable ECC | Asserted,SM17
049f87bf7bea,2020/11/8 10:30, Memory #0xf9 | Correctable ECC | Asserted,SM17
04c285d9aa84,2020/7/26 6:27, Memory #0xe2 | Uncorrectable ECC | Asserted,SM51
04c285d9aa84,2020/7/26 6:27, Processor #0xe4 | Configuration Error | Asserted,SM51
04cfc3fe40c8,2020/10/4 15:37, Memory #0xe2 | Correctable ECC | Asserted,SM51
04cfc3fe40c8,2020/10/4 15:36, Memory #0xe2 | Correctable ECC | Asserted,SM51
04cfc3fe40c8,2020/10/4 15:34, Memory #0xe2 | Correctable ECC | Asserted,SM51
04cfc3fe40c8,2020/10/4 15:38, Memory #0xe2 | Correctable ECC | Asserted,SM51
04e3263c8f31,2020/3/14 17:30, System Boot Initiated #0xb8 | Initiated by warm reset | Asserted,SM92
04e3263c8f31,2020/3/14 17:25, System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted,SM92
04e3263c8f31,2020/3/14 17:30, Unknown Chassis_control |  | Asserted,SM92
04e3263c8f31,2020/3/14 17:25, Power Unit Power Unit | Power off/down | Asserted,SM92
04e3263c8f31,2020/3/14 17:30, System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted,SM92
04e3263c8f31,2020/3/14 17:24, Unknown Chassis_control |  | Asserted,SM92
04e3263c8f31,2020/3/14 17:30, System Boot Initiated #0xb8 | Initiated by warm reset | Asserted,SM92
04fc9a006d6e,2020/11/12 23:24, Processor CPU0_Status | Configuration Error | Asserted,SM23
04fc9a006d6e,2020/11/12 23:24, Processor CPU0_Status | Configuration Error | Asserted,SM23
054b6ad4c4c2,2020/6/4 16:40," Power Supply PS1_Status | AC out-of-range, but present | Asserted",SM55
054b6ad4c4c2,2020/6/4 9:01," Power Supply PS1_Status | AC out-of-range, but present | Deasserted",SM55
054b6ad4c4c2,2020/6/4 9:01, Power Supply PS1_Status | Power Supply AC lost | Asserted,SM55
054b6ad4c4c2,2020/6/4 16:41, Power Supply PS1_Status | Power Supply AC lost | Deasserted,SM55
054b6ad4c4c2,2020/6/4 9:01, Power Supply PS1_Status | Power Supply AC lost | Deasserted,SM55
054b6ad4c4c2,2020/6/4 16:41," Power Supply PS1_Status | AC out-of-range, but present | Deasserted",SM55
054b6ad4c4c2,2020/6/4 16:40, Power Supply PS1_Status | Power Supply AC lost | Asserted,SM55
054b6ad4c4c2,2020/6/4 9:01," Power Supply PS1_Status | AC out-of-range, but present | Asserted",SM55
0576714d2b3c,2020/9/26 15:16, Memory Memory_Status | Correctable ECC | Asserted,SM99
058473fcd7a3,2020/1/6 18:06, Memory DIMM010 | Correctable ECC logging limit reached | Asserted,SM6
0588ef9257aa,2020/5/12 11:01, Memory CPU1A0_DIMM_Stat | Correctable ECC | Asserted,SM35
0588ef9257aa,2020/5/12 3:25, Memory CPU1A0_DIMM_Stat | Correctable ECC | Asserted,SM35
05aceb8f3b0f,2020/3/15 23:39, Processor CPU_CATERR | State Asserted | Asserted,SM23
05aceb8f3b0f,2020/3/15 23:39, Unknown #0x17 |  | Asserted,SM23
05bf169ad0f9,2020/2/25 10:31, Memory #0x99 | Correctable ECC | Asserted,SM103
05bf169ad0f9,2020/2/25 10:29, Memory #0x99 | Correctable ECC | Asserted,SM103
05bf169ad0f9,2020/2/25 10:55, Memory #0x99 | Correctable ECC | Asserted,SM103
05bf169ad0f9,2020/2/25 10:51, Memory #0x99 | Correctable ECC | Asserted,SM103
05bf169ad0f9,2020/2/25 10:50, Memory #0x99 | Correctable ECC | Asserted,SM103
05bf169ad0f9,2020/2/25 10:30, Memory #0x99 | Correctable ECC | Asserted,SM103
05bf169ad0f9,2020/2/25 10:52, Memory #0x99 | Correctable ECC | Asserted,SM103
05bf169ad0f9,2020/2/25 10:53, Memory #0x99 | Correctable ECC | Asserted,SM103
05bf169ad0f9,2020/2/25 10:51, Memory #0x99 | Correctable ECC | Asserted,SM103
05bf169ad0f9,2020/2/25 10:01, Memory #0x99 | Correctable ECC | Asserted,SM103
05bf169ad0f9,2020/2/25 10:50, Memory #0x99 | Correctable ECC | Asserted,SM103
05bf169ad0f9,2020/2/25 10:29, Memory #0x99 | Correctable ECC | Asserted,SM103
05bf169ad0f9,2020/2/25 10:54, Memory #0x99 | Correctable ECC | Asserted,SM103
